Trace,Exp,Core_0_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Filter
cassandra_phase0_core0,nopref,0.34815,1056690,817794,68491,170405,1
cassandra_phase0_core0,spp,0.36781,1451931,545207,89657,45493,1
cassandra_phase0_core0,bingo,0.36323,1467153,531625,85080,102135,1
cassandra_phase0_core0,mlop,0.36966,4630938,539075,90475,87477,1
cassandra_phase0_core0,dspatch,0.363,2666954,635646,93663,130045,1
cassandra_phase0_core0,ppf,0.37832,2037362,402397,82424,166241,1
cassandra_phase0_core0,pythia,0.37844,1448139,384614,72908,159659,1
cloud9_phase5_core2,nopref,0.14284,923058,735631,59153,128274,1
cloud9_phase5_core2,spp,0.14295,1075379,703162,61816,107830,1
cloud9_phase5_core2,bingo,0.14434,3120634,526014,30199,66337,1
cloud9_phase5_core2,mlop,0.14308,1130254,701136,55074,126121,1
cloud9_phase5_core2,dspatch,0.14434,2038005,598044,42205,97794,1
cloud9_phase5_core2,ppf,0.14367,1565975,621832,51563,135409,1
cloud9_phase5_core2,pythia,0.14409,1396985,618141,26097,138424,1
nutch_phase0_core0,nopref,0.31695,683256,376220,44136,262900,1
nutch_phase0_core0,spp,0.32837,519023,87764,43772,24811,1
nutch_phase0_core0,bingo,0.32857,738338,96497,42613,231429,1
nutch_phase0_core0,mlop,0.32973,703774,62243,39312,103670,1
nutch_phase0_core0,dspatch,0.32516,906849,134393,40235,155066,1
nutch_phase0_core0,ppf,0.33017,810366,57361,40604,193793,1
nutch_phase0_core0,pythia,0.33045,705715,54286,42021,204088,1
streaming_phase0_core1,nopref,0.2458,855785,681263,116381,58141,1
streaming_phase0_core1,spp,0.25958,1000965,290217,139059,58797,1
streaming_phase0_core1,bingo,0.26291,1018611,151231,122073,62680,1
streaming_phase0_core1,mlop,0.26229,1462798,161029,137798,71713,1
streaming_phase0_core1,dspatch,0.2594,1491319,234159,144365,33321,1
streaming_phase0_core1,ppf,0.26277,1184743,115485,130633,37287,1
streaming_phase0_core1,pythia,0.26054,996282,210118,119650,43987,1
605.mcf_s-472B,nopref,0.24986,24511312,21978475,1118510,1414327,1
605.mcf_s-472B,spp,0.32999,27735872,14248696,1076019,988961,1
605.mcf_s-472B,bingo,0.42676,34361115,3043243,1028584,1148490,1
605.mcf_s-472B,mlop,0.29145,28619432,12351178,1071827,1300801,1
605.mcf_s-472B,dspatch,0.35649,31098930,11953443,1045744,1106003,1
605.mcf_s-472B,ppf,0.43037,33239597,2077443,1032921,1098787,1
605.mcf_s-472B,pythia,0.39275,35127294,5858563,1023442,1204834,1
620.omnetpp_s-141B,nopref,0.22848,5928103,4469763,566087,892253,1
620.omnetpp_s-141B,spp,0.22924,6376767,4278628,567107,754235,1
620.omnetpp_s-141B,bingo,0.23875,12922108,2704550,478104,608466,1
620.omnetpp_s-141B,mlop,0.23292,9511808,3671952,445952,782080,1
620.omnetpp_s-141B,dspatch,0.237,13660222,2991886,429093,863401,1
620.omnetpp_s-141B,ppf,0.23507,12045692,3232982,473458,923827,1
620.omnetpp_s-141B,pythia,0.23552,8400906,3372362,461299,867944,1
623.xalancbmk_s-10B,nopref,0.31193,5819217,5729403,70036,19778,1
623.xalancbmk_s-10B,spp,0.31019,8005278,6111902,82341,28557,1
623.xalancbmk_s-10B,bingo,0.30829,42237918,6061559,86378,62587,1
623.xalancbmk_s-10B,mlop,0.302,13651674,7648616,76475,48591,1
623.xalancbmk_s-10B,dspatch,0.31106,21420335,7144529,55192,10578,1
623.xalancbmk_s-10B,ppf,0.33024,20869045,5758682,63245,13534,1
623.xalancbmk_s-10B,pythia,0.33165,11266945,5476064,63381,13569,1
607.cactuBSSN_s-2421B,nopref,0.88831,3852531,3851215,578,738,1
607.cactuBSSN_s-2421B,spp,1.15983,4009095,567983,196,1193,1
607.cactuBSSN_s-2421B,bingo,0.89907,3851386,3698256,473,596,1
607.cactuBSSN_s-2421B,mlop,1.28745,3844841,69905,5,3,1
607.cactuBSSN_s-2421B,dspatch,1.22953,3935813,223373,24,139,1
607.cactuBSSN_s-2421B,ppf,1.20375,4135745,222947,105,326,1
607.cactuBSSN_s-2421B,pythia,1.2553,3929079,77783,5,23,1
619.lbm_s-2676B,nopref,0.32074,32854538,5908780,17753224,9192534,1
619.lbm_s-2676B,spp,0.37709,32865397,755329,17753502,9202672,1
619.lbm_s-2676B,bingo,0.38095,32833079,270958,17752683,9171632,1
619.lbm_s-2676B,mlop,0.37981,32827941,293584,17751702,9164521,1
619.lbm_s-2676B,dspatch,0.37948,32837323,291919,17752621,9173097,1
619.lbm_s-2676B,ppf,0.38063,32831525,230838,17752656,9169437,1
619.lbm_s-2676B,pythia,0.36959,32841993,447314,17752867,9180132,1
628.pop2_s-17B,nopref,0.95718,2132399,1054946,648557,428896,1
628.pop2_s-17B,spp,1.11506,2227683,140771,675409,366084,1
628.pop2_s-17B,bingo,1.11638,2155133,177596,648217,377721,1
628.pop2_s-17B,mlop,1.11471,2279608,148855,659207,391806,1
628.pop2_s-17B,dspatch,1.0811,2304665,312469,644093,347386,1
628.pop2_s-17B,ppf,1.15508,2229768,57865,644029,389067,1
628.pop2_s-17B,pythia,1.14381,2188251,57099,648679,409472,1
649.fotonik3d_s-1176B,nopref,0.54506,8699280,4355108,6,4344166,1
649.fotonik3d_s-1176B,spp,1.14834,4362458,117418,6,775,1
649.fotonik3d_s-1176B,bingo,1.2087,7873273,141831,6,3517000,1
649.fotonik3d_s-1176B,mlop,1.25107,6194218,70170,6,1834874,1
649.fotonik3d_s-1176B,dspatch,1.15381,6081562,262524,6,1725715,1
649.fotonik3d_s-1176B,ppf,1.21561,8701611,137226,6,4341641,1
649.fotonik3d_s-1176B,pythia,1.18783,8701205,71046,6,4343545,1
654.roms_s-293B,nopref,0.67437,5335813,5139455,106624,89734,1
654.roms_s-293B,spp,1.09032,5839012,231060,141141,116701,1
654.roms_s-293B,bingo,1.02674,6990152,423356,131989,108369,1
654.roms_s-293B,mlop,1.10692,6552537,243151,133753,111964,1
654.roms_s-293B,dspatch,0.89356,7954617,1174412,104360,85404,1
654.roms_s-293B,ppf,1.1182,5919386,259592,98521,83172,1
654.roms_s-293B,pythia,1.14357,5752040,174741,103120,90318,1
